OrderID,OrderDate,Year,Month,Quarter,CustomerID,Region,City,Channel,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,Status
ORD1000,2024-01-29,2024,1,Q1,C0096,West,Mumbai,Retail Store,P003,Tablet,Electronics,8,32000,0.05,243200.0,176000,67200.0,Delivered
ORD1001,2024-12-05,2024,12,Q4,C0103,West,Ahmedabad,Online,P002,Smartphone,Electronics,1,45000,0.2,36000.0,30000,6000.0,Delivered
ORD1002,2023-08-13,2023,8,Q3,C0150,East,Guwahati,Direct Sales,P018,Coffee Maker,Appliances,3,6500,0.2,15600.0,11400,4200.0,Delivered
ORD1003,2023-09-13,2023,9,Q3,C0045,North,Lucknow,Retail Store,P008,Bookshelf,Furniture,2,9000,0.05,17100.0,11000,6100.0,Delivered
ORD1004,2024-11-14,2024,11,Q4,C0056,South,Bangalore,Wholesale,P007,Office Desk,Furniture,9,22000,0.1,178200.0,126000,52200.0,Pending
ORD1005,2024-03-29,2024,3,Q1,C0100,South,Hyderabad,Direct Sales,P003,Tablet,Electronics,10,32000,0.2,256000.0,220000,36000.0,Delivered
ORD1006,2024-07-15,2024,7,Q3,C0028,South,Hyderabad,Direct Sales,P012,Jeans,Apparel,8,2500,0.0,20000.0,8800,11200.0,Delivered
ORD1007,2023-09-11,2023,9,Q3,C0123,Central,Indore,Direct Sales,P007,Office Desk,Furniture,5,22000,0.2,88000.0,70000,18000.0,Delivered
ORD1008,2023-10-09,2023,10,Q4,C0136,Central,Indore,Wholesale,P012,Jeans,Apparel,8,2500,0.0,20000.0,8800,11200.0,Delivered
ORD1009,2023-12-10,2023,12,Q4,C0137,South,Bangalore,Online,P014,Jacket,Apparel,6,5500,0.1,29700.0,16800,12900.0,Delivered
ORD1010,2023-08-25,2023,8,Q3,C0079,West,Pune,Retail Store,P004,Headphones,Electronics,7,8000,0.15,47600.0,31500,16100.0,Delivered
ORD1011,2023-03-07,2023,3,Q1,C0194,South,Bangalore,Wholesale,P020,Air Purifier,Appliances,7,12000,0.05,79800.0,52500,27300.0,Delivered
ORD1012,2024-03-01,2024,3,Q1,C0089,Central,Bhopal,Direct Sales,P015,Notebook,Stationery,1,250,0.0,250.0,100,150.0,Delivered
ORD1013,2024-08-21,2024,8,Q3,C0187,North,Delhi,Direct Sales,P010,Keyboard,Electronics,1,3500,0.2,2800.0,1800,1000.0,Delivered
ORD1014,2023-12-27,2023,12,Q4,C0134,West,Pune,Direct Sales,P020,Air Purifier,Appliances,5,12000,0.2,48000.0,37500,10500.0,Returned
